Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Non-Travel,Travel_Frequently,Travel_Rarely,Departmnet_Human Resources,Departmnet_Research & Development,Departmnet_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,DistanceFromHome_normalized,DailyRate_normalized,HourlyRate_normalized,MonthlyRate_normalized,YearsAtCompany_normalized,YearsInCurrentRole_normalized,YearsSinceLastPromotion_normalized,YearsWithCurrManager_normalized,TotalWorkingYears_normalized,PercentSalaryHike_normalized,MonthlyIncome_normalized
35,0,809,16,3,1,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,0.016149580244313087,0.8910731041795485,0.304397134281837,2.23606797749979,2.0,0.0,1.7320508075688772,2.449489742783178,3.605551275463989,49.25444142409901
29,0,153,15,2,4,0,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,-1.6101414829549299,-0.8311549653184892,-0.22923679800937558,3.0,2.23606797749979,0.0,2.8284271247461903,3.1622776601683795,3.4641016151377544,64.7533782902483
31,0,670,26,1,1,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26,-0.32844562979333136,-1.7168722582031943,0.12042904964417642,2.23606797749979,1.4142135623730951,2.0,1.7320508075688772,2.23606797749979,4.123105625617661,53.95368384086484
34,0,1346,19,2,2,1,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19,1.3474274780156446,1.333931750621901,-0.7807194291157011,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.7320508075688772,3.3166247903554,51.58488150611572
28,1,103,24,3,3,1,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24,-1.7340965944792623,-0.7819484490471167,-0.19199345008807683,2.0,1.4142135623730951,0.0,1.7320508075688772,2.449489742783178,3.7416573867739413,45.033320996790806
29,0,1389,21,4,2,0,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,1.4540288739265705,-0.7327419327757442,-0.5787621047273755,3.1622776601683795,3.0,2.8284271247461903,2.8284271247461903,3.1622776601683795,3.3166247903554,99.89994994993741
32,0,334,5,2,1,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,-1.1614239792368461,0.6942470390940585,0.10398576018458414,2.449489742783178,1.4142135623730951,0.0,2.23606797749979,2.6457513110645907,3.4641016151377544,57.42821606144492
22,0,1123,16,2,4,1,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16,0.7945876806171215,1.4815512994360187,-0.9822551306973706,1.0,0.0,0.0,0.0,1.0,3.605551275463989,54.17564028232615
53,0,1219,2,4,1,0,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1.0325814947438399,0.5958340065513135,1.083274999111413,5.0,2.8284271247461903,1.7320508075688772,2.6457513110645907,5.5677643628300215,4.0,124.20547491958638
38,0,371,2,3,4,1,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,-1.06969719670884,-1.0279810304039791,-1.40640767419352,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,2.449489742783178,3.3166247903554,62.80127387243033
24,0,673,11,2,1,0,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,11,-0.32100832310187144,1.4815512994360187,-0.8546439612160903,2.0,1.4142135623730951,1.0,1.7320508075688772,2.23606797749979,4.242640687119285,63.33245613427605
36,1,1218,9,4,3,1,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1.0301023925133532,0.7926600716368035,-1.0297579669139705,2.23606797749979,1.7320508075688772,0.0,1.7320508075688772,3.1622776601683795,4.795831523312719,58.36951259004995
34,0,419,7,4,1,0,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,-0.9507002896454807,-0.6343289002329991,0.9809611980295055,3.4641016151377544,2.449489742783178,1.4142135623730951,3.3166247903554,3.605551275463989,3.3166247903554,109.5171219490359
21,0,391,15,2,3,1,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,-1.020115152099107,1.4815512994360187,0.6981928356987392,0.0,0.0,0.0,0.0,0.0,3.7416573867739413,35.09985754956849
34,1,699,6,1,2,1,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,-0.2565516651092185,0.841866587908176,0.3919541371307771,2.0,1.4142135623730951,1.0,1.7320508075688772,2.8284271247461903,3.3166247903554,54.405882034941776
53,0,1282,5,3,3,0,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1.188764935264499,-0.3882963188761366,-0.5028699995292573,3.7416573867739413,3.605551275463989,2.0,2.8284271247461903,5.0990195135927845,3.3166247903554,138.181040667669
32,1,1125,16,1,2,0,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,0.7995458850780948,0.3005949089230785,-1.3537048233614937,3.1622776601683795,1.4142135623730951,2.449489742783178,2.6457513110645907,3.1622776601683795,4.69041575982343,62.601916903558156
42,0,691,8,4,3,1,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,-0.2763844829531117,-0.8803614815898617,0.964096285763257,3.0,2.6457513110645907,2.0,1.4142135623730951,3.1622776601683795,3.3166247903554,82.61355820929153
44,0,477,7,4,1,0,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,-0.806912360277255,-1.1756005792180968,-1.7172842236347006,4.69041575982343,2.449489742783178,2.23606797749979,4.123105625617661,4.898979485566356,3.7416573867739413,101.23240587875011
46,0,705,2,4,2,0,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,-0.2416770517262986,0.841866587908176,1.1958482884886217,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,4.69041575982343,3.4641016151377544,137.648102057384
33,0,924,2,3,3,1,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0.30124633675027795,0.5958340065513135,-1.074168902548425,1.0,1.0,0.0,0.0,2.6457513110645907,3.3166247903554,49.95998398718719
44,0,1459,10,4,4,1,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,1.627566030060636,-1.2248070954894692,0.6757062860104079,2.0,1.4142135623730951,1.0,1.7320508075688772,3.0,3.605551275463989,80.40522371090077
30,0,125,9,2,4,1,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,-1.679556345408556,0.841866587908176,0.2535213156119874,3.1622776601683795,0.0,1.0,2.8284271247461903,3.1622776601683795,3.605551275463989,46.968074263269514
39,1,895,5,3,4,1,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5,0.22935237206616507,-0.4867093514188816,-1.5428729226145808,1.0,0.0,0.0,0.0,4.358898943540674,3.7416573867739413,45.67274898667694
24,1,813,1,3,2,1,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.02606598916625969,-0.2406767700620191,-1.587143317313483,1.4142135623730951,0.0,1.4142135623730951,0.0,2.449489742783178,4.0,47.885279575251516
43,0,1273,2,2,4,0,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1.1664530151901191,0.3005949089230785,1.0695019874273102,2.23606797749979,1.7320508075688772,1.0,2.0,2.449489742783178,3.4641016151377544,51.42956348249516
50,1,869,3,2,1,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0.16489571407351214,0.9894861367222936,-1.4761159782273472,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,1.7320508075688772,3.7416573867739413,51.79768334587948
35,0,890,2,3,4,0,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.2169568609137318,1.5307578157073911,-0.6501568999878274,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.605551275463989,44.87761134463375
36,0,852,5,4,2,0,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0.12275097615523907,0.7926600716368035,-0.174425833144068,1.0,1.0,0.0,0.0,2.449489742783178,3.7416573867739413,58.47221562417487
33,0,1141,1,3,3,0,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.8392115207658811,-1.1756005792180968,-1.5628297354629748,2.23606797749979,1.7320508075688772,1.0,1.7320508075688772,3.1622776601683795,4.358898943540674,73.32121111929344
35,0,464,4,2,3,1,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,-0.8391406892735814,0.448214457737196,-0.4782753358076449,1.0,0.0,0.0,0.0,1.0,3.4641016151377544,44.170125650715555
27,0,1240,2,4,4,0,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1.0846426415840595,-1.6184592256604493,0.7591876017283379,1.0,0.0,0.0,0.0,1.0,3.605551275463989,48.38388161361178
26,1,1357,25,3,1,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,1.3746976025509978,-0.8803614815898617,-0.5277457451219738,1.0,0.0,0.0,1.0,1.0,3.4641016151377544,47.885279575251516
27,0,994,8,3,4,1,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0.4747834928843435,-1.4216331605749593,-1.5934676594133264,3.0,2.8284271247461903,1.0,2.6457513110645907,3.0,3.872983346207417,93.41306118525397
30,0,721,1,2,3,0,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.2020114160385122,-0.3882963188761366,-0.49640511649386204,3.4641016151377544,2.8284271247461903,1.7320508075688772,2.6457513110645907,3.4641016151377544,4.795831523312719,63.33245613427605
41,1,1360,12,3,2,0,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12,1.3821349092424577,-0.8311549653184892,0.27642948810697493,4.69041575982343,3.872983346207417,3.872983346207417,2.8284271247461903,4.795831523312719,3.4641016151377544,139.80343343423294
34,0,1065,23,4,2,1,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23,0.6507997512488957,0.3005949089230785,-0.6013891953512589,3.0,2.23606797749979,2.8284271247461903,2.6457513110645907,3.1622776601683795,4.47213595499958,67.58698099486321
37,0,408,19,2,2,1,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,-0.977970414180834,0.349801425194451,-0.5742647947897093,1.0,0.0,0.0,0.0,2.8284271247461903,4.58257569495584,54.97272050753901
46,0,1211,5,4,1,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1.0127486768999467,1.5799643319787637,0.8617824846813495,3.0,2.449489742783178,0.0,2.8284271247461903,3.7416573867739413,4.58257569495584,75.97367965289031
35,0,1229,8,1,4,1,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,1.0573725170487065,-1.4708396768463317,-1.3240506859600067,1.0,0.0,0.0,1.0,1.0,4.358898943540674,47.634021455258214
48,1,626,1,2,1,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.43752612793474405,1.5799643319787637,0.7000198678609162,1.0,0.0,0.0,0.0,4.795831523312719,3.605551275463989,73.35529974037323
28,1,1434,5,4,3,1,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,1.5655884742984698,-0.7819484490471167,-0.44046982414413793,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.605551275463989,58.66003750424986
44,0,1488,1,5,2,0,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.699459994744749,0.448214457737196,-1.448148332052485,2.0,1.7320508075688772,1.0,1.7320508075688772,3.0,4.58257569495584,73.85120175054702
35,0,1097,11,2,3,1,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0.7301310226244685,0.645040522822686,-0.8448060957274455,2.0,0.0,1.4142135623730951,1.7320508075688772,3.1622776601683795,3.605551275463989,99.41830817309254
26,0,1443,23,3,3,0,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,1.5879003943728498,-0.9295679978612341,1.0010585518134516,1.4142135623730951,1.4142135623730951,0.0,0.0,2.23606797749979,4.358898943540674,64.47480127925948
33,0,515,1,2,1,0,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-0.7127064755187623,1.5799643319787637,0.11705606719092672,3.872983346207417,3.7416573867739413,2.8284271247461903,3.4641016151377544,3.872983346207417,3.4641016151377544,116.00862036935014
35,0,853,18,5,2,1,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,18,0.12523007838572572,0.251388392651706,-0.4612698826058444,3.0,2.8284271247461903,1.0,2.8284271247461903,3.0,4.69041575982343,95.23129737644027
35,0,1142,23,4,3,0,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23,0.8416906229963679,-1.7660787744745667,0.23735910802349927,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,3.872983346207417,63.35613624582863
31,0,655,7,4,4,1,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,-0.36563216325063114,-0.8803614815898617,-0.6725029087406067,2.6457513110645907,2.6457513110645907,1.0,2.6457513110645907,3.1622776601683795,4.69041575982343,76.909037180295
37,0,1115,1,4,1,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.7747548627732282,-0.7327419327757442,-1.6336623669812185,2.6457513110645907,2.23606797749979,0.0,2.6457513110645907,2.6457513110645907,4.242640687119285,77.41446893184762
32,0,427,1,3,1,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.9308674718015876,-1.6184592256604493,-0.48291318668086325,3.0,2.8284271247461903,2.6457513110645907,2.8284271247461903,3.0,4.69041575982343,78.49840762716146
38,0,653,29,5,4,0,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29,-0.3705903677116045,-0.7819484490471167,-1.2447855983086387,3.1622776601683795,1.7320508075688772,3.0,3.0,3.1622776601683795,3.3166247903554,49.05099387372289
50,0,989,7,2,2,0,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0.46238798173191026,-1.1263940629467242,0.33559722197439673,5.196152422706632,1.7320508075688772,3.605551275463989,2.8284271247461903,5.385164807134504,3.4641016151377544,136.8941196691808
59,0,1435,25,3,1,0,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25,1.5680675765289565,1.6291708482501361,-1.6807435803911621,4.58257569495584,4.0,2.6457513110645907,3.0,5.291502622129181,3.3166247903554,87.38993077008358
36,0,1223,8,3,3,0,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,8,1.0424979036657867,-0.3390898026047641,-0.8588601892826525,4.123105625617661,3.7416573867739413,3.4641016151377544,2.8284271247461903,4.123105625617661,3.605551275463989,100.47885349664377
55,0,836,8,3,4,0,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0.08308534046745267,-1.6184592256604493,0.761295715761619,2.23606797749979,0.0,0.0,1.4142135623730951,4.58257569495584,3.7416573867739413,121.47427711248172
36,0,1195,11,3,2,1,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0.9730830412121604,1.432344783164646,1.1725184931869779,2.449489742783178,2.23606797749979,0.0,1.7320508075688772,2.449489742783178,3.605551275463989,80.61637550770935
45,0,1339,7,3,2,1,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,1.330073762402238,-0.3390898026047641,0.6287656135360162,1.0,0.0,0.0,0.0,5.0,4.123105625617661,98.6103442849684
35,0,664,1,3,2,1,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-0.3433202431762513,0.645040522822686,-1.1868827328611855,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,2.23606797749979,3.605551275463989,46.84015371452148
